epoch,train_loss,valid_loss,accuracy,error_rate,time
0,3.045159,1.589482,0.564685,0.435315,08:26
1,2.031103,1.512841,0.590529,0.409471,06:58
2,1.580198,1.282151,0.641209,0.358791,07:02
3,1.176071,1.126957,0.685441,0.314559,07:01
4,0.915919,1.084229,0.693199,0.306801,06:58
0,0.864151,1.077442,0.695113,0.304887,06:57
1,0.859532,1.073482,0.694559,0.305441,06:56
2,0.825874,1.072657,0.695365,0.304635,06:56
