epoch,train_loss,valid_loss,accuracy,error_rate,time
0,3.053918,1.602363,0.572796,0.427204,07:32
1,2.055854,1.556024,0.587355,0.412645,07:34
2,1.587337,1.293446,0.640353,0.359647,07:34
3,1.196448,1.118837,0.680453,0.319547,07:39
4,0.943023,1.081918,0.692040,0.307960,07:35
0,0.865293,1.080561,0.691839,0.308161,07:41
1,0.841334,1.074188,0.693401,0.306599,07:40
2,0.835416,1.072479,0.693098,0.306902,07:39
