epoch,accuracy,loss,val_accuracy,val_loss
0,0.30690634,3.7774042521918547,0.43063291907310486,2.457704782485962
1,0.3740145,2.7046528938101577,0.44968312978744507,2.550759792327881
2,0.42541784,2.3111907701242687,0.46590620279312134,2.1409683227539062
3,0.45001575,2.14435487269453,0.493536114692688,2.1737887859344482
4,0.4985178,1.805515204533084,0.5110266208648682,2.0693867206573486
5,0.5318827,1.6885738288217145,0.5130544900894165,1.262180209159851
6,0.55149794,1.5926787774858322,0.5244613289833069,1.6401726007461548
7,0.575339,1.5113905701528998,0.5340937972068787,1.3861101865768433
8,0.5898455,1.4246161017497607,0.5389100313186646,1.2714312076568604
9,0.47852412,4.132347653206121,0.5102661848068237,1.7166180610656738
10,0.52929676,2.619184374715281,0.5315589308738708,1.7464405298233032
11,0.5609587,2.2861138527155,0.5462610721588135,1.970213770866394
12,0.5868811,1.9171979858160244,0.5376425981521606,1.6058887243270874
0,0.5666982,1.8548071149469962,0.6643037796020508,1.7657564878463745
1,0.5586881,2.0030842000135145,0.6443599462509155,1.5963969230651855
2,0.59198993,1.6074131620640786,0.6501901149749756,0.7344855666160583
3,0.60939765,1.5186151958947978,0.6261090040206909,1.3655074834823608
4,0.61274046,1.48905868362606,0.6301647424697876,1.1698694229125977
5,0.6455377,1.2599076098051405,0.6311787366867065,1.367946743965149
6,0.66452223,1.1419216339349822,0.6314321756362915,1.7236065864562988
7,0.6613056,1.1864055938635742,0.6273764371871948,0.8087171316146851
8,0.68104696,1.0621719895590371,0.6228137016296387,0.9499230980873108
9,0.7010407,1.02003380699475,0.6281368732452393,1.2553396224975586
